sku,airmart_product_id,airmart_option_id,name,category,price,original_price,unit,stock,inventory_type,visible,hidden,tag,description,image,images,addons,sort_order
"AIR-18416712","18416712","18416712","Chef Selection Omakase Chirashi Box Classic","Chef Selection Omakase Chirashi Box｜主厨精选和风刺身锦盒","75","0","当日选6-7种鱼包括 金目雕 各种白身鱼 牡丹虾  干贝 蓝鳍金枪鱼 Akami Chutoro Otoro 三文鱼 海胆 ","","unlimited","true","false","","","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/f8b27680-3c33-11f1-955a-9f1856400674.jpg","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/f8b27680-3c33-11f1-955a-9f1856400674.jpg|https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/f81ba870-3ba9-11f1-941e-2ffb7140a06a.jpg|https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/26e72e40-3baa-11f1-a0d0-83161f116246.jpg|https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/672cc4e0-3d19-11f1-bea5-efe04dd9b3d6.jpg","Add On: 100g马粪海胆 +$63 | Add On: 100g Ikura +$16","1"
"AIR-16809406","16809406","16809406","优美臻选｜100g马粪海胆+ 蓝旗金枪鱼大腹0.5lb｜Uni 100g & Otoro 0.5lb Set","优美臻选套餐｜Uminoya Selection Set","88","108","Hokkaido A-Grade Bafun Uni — 100g ｜Bluefin Tuna Otoro — 0.5 lb（约227g）","","unlimited","false","true","入门款","","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/571b0020-32b6-11f1-bea5-efe04dd9b3d6.png","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/571b0020-32b6-11f1-bea5-efe04dd9b3d6.png","Add On: Ikura 100g +$16 | Add On: 酱油/wasabi/海苔2包 +$5","2"
"AIR-15739248","15739248","15739248","优美臻选 ｜法罗群岛三文鱼+北海道A级马粪海胆套餐｜Salmon & Hokkaido Uni Sashimi Set Perfect for Sharing","优美臻选套餐｜Uminoya Selection Set","98","108","100g Hokkaido A-Grade Uni + Salmon Fillet (0.5 lb)+Ikura 100g","","unlimited","true","false","","Ikura100g\n北海道马粪海胆100g\n法罗群岛三文鱼8oz\n","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/ffb037a0-2758-11f1-abd1-993c4c4eec5e.png","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/ffb037a0-2758-11f1-abd1-993c4c4eec5e.png","","3"
"AIR-16809408","16809408","16809408","优美臻选｜250g北海道马粪海胆 + 蓝旗金枪鱼大腹0.5lb ｜Uminoya Premium Uni & Otoro  Set","优美臻选套餐｜Uminoya Selection Set","129","149","Hokkaido A-Grade Bafun Uni — 250g ｜Bluefin Tuna Otoro — 0.5 lb（约227g）","","unlimited","false","true","爆款","","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/476b89f0-32b7-11f1-941e-2ffb7140a06a.png","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/476b89f0-32b7-11f1-941e-2ffb7140a06a.png","Add On: Ikura 100g +$16 | Add On: 酱油/Wasabi/海苔2包 +$5","4"
"AIR-14836425","14836425","14836425","优美臻选 ｜100g北海道A级马粪海胆+蓝旗金枪鱼刺身拼盘套餐 ｜Uminoya Select Uni & Tuna Set","优美臻选套餐｜Uminoya Selection Set","108","0","100g Hokkaido A-Grade Uni + Tuna Sashimi Selection (0.5 lb)","0","number","false","true","","","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/da6f1820-225e-11f1-a0d0-83161f116246.png","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/da6f1820-225e-11f1-a0d0-83161f116246.png","","5"
"AIR-5798216","5798216","5798216","优美臻选 ｜100g北海道A级马粪海胆双人套餐 Uminoya Signature Hokkaido Bafun Uni  Set","优美臻选套餐｜Uminoya Selection Set","108","0","• A-Grade Hokkaido Bafun Uni – 100g • Botan Ebi Sashimi – 4 pcs • Hokkaido Scallop Sashimi – 4 pcs • Marinated Ikura – 100g","","unlimited","true","false","","上等料理食材\n套餐包括\n北海道马粪海胆100g\n加拿大牡丹甜虾刺身4pcs\n北海道干贝刺身4pcs\n北海道酱油渍三文鱼籽100g\n","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/71459370-2753-11f1-955a-9f1856400674.png","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/71459370-2753-11f1-955a-9f1856400674.png","Add On: 酱油/Wasabi/海苔2包 +$5","6"
"AIR-14836428","14836428","14836428","优美臻选｜250g北海道AA级直排马粪海胆+蓝旗金枪鱼拼盘刺身套餐｜Uminoya Signature Uni & Tuna Set","优美臻选套餐｜Uminoya Selection Set","175","0","250g Hokkaido A-Grade Uni + Premium Tuna Sashimi Selection (0.5 lb)","","unlimited","false","true","","","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/18825c30-225f-11f1-abd1-993c4c4eec5e.png","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/18825c30-225f-11f1-abd1-993c4c4eec5e.png","","7"
"AIR-5798096","5798096","5798096","优美臻选 ｜250g北海道A级直排马粪海胆双人套餐 Uminoya Signature Hokkaido Bafun Uni  Set","优美臻选套餐｜Uminoya Selection Set","179","0","• SP-Grade Hokkaido Bafun Uni – 250g • Botan Ebi Sashimi – 4 pcs • Hokkaido Scallop Sashimi – 4 pcs • Marinated Ikura – 100g","","unlimited","true","false","","上等料理食材\n套餐包括\n北海道马粪海胆250g\n加拿大牡丹甜虾刺身4pcs\n北海道干贝刺身4pcs\n北海道酱油渍三文鱼籽100g\n","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/b129f560-2750-11f1-bea5-efe04dd9b3d6.png","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/b129f560-2750-11f1-bea5-efe04dd9b3d6.png","Add On: 酱油/Wasabi/海苔2包 +$5","8"
"AIR-7273887","7273887","7273887","柊流AB Kaneryu AB  Bafun","北海道标准级(A)&上选级(SA)马粪海胆 ｜Hokkaido Regular Grade (A) & Selected Grade (SA) Sea Urchin (Uni)","170","0","250g","","unlimited","false","true","","","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/68aed400-e032-11f0-8a4d-35acd85c27cf.jpg","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/68aed400-e032-11f0-8a4d-35acd85c27cf.jpg","","9"
"AIR-9320689","9320689","9320689","北海道小川圣诞限量版马粪海胆","北海道标准级(A)&上选级(SA)马粪海胆 ｜Hokkaido Regular Grade (A) & Selected Grade (SA) Sea Urchin (Uni)","49","0","50g","","unlimited","false","true","","","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/9740f1d0-df57-11f0-88fb-1f66ffab0627.jpg","https://s3-us-west-2.amazonaws.com/airmart.image/f9b3bdeb-aeec-5a99-8185-1be592c66ac9/9740f1d0-df57-11f0-88fb-1f66ffab0627.jpg","","10"
